"熱海",139.07876,35.10446
"函南",138.97147,35.10878
"三島",138.91018,35.12607
"沼津",138.86032,35.10302
"片浜",138.81809,35.11863
"原",138.79199,35.12542
"東田子の浦",138.74612,35.13616
"吉原",138.70407,35.14362
"富士",138.65125,35.15131
"富士川",138.61897,35.14236
"新蒲原",138.60798,35.11936
"蒲原",138.58272,35.11403
"由比",138.55321,35.09771
"興津",138.52077,35.05169
"清水",138.48906,35.0226
"草薙",138.44129,35.00247
"東静岡",138.41347,34.98444
"静岡",138.38892,34.97177
"安倍川",138.36412,34.94171
"用宗",138.36027,34.92293
"焼津",138.31998,34.87294
"西焼津",138.28667,34.86015
"藤枝",138.25193,34.84925
"六合",138.20437,34.83664
"島田",138.1743,34.83013
"金谷",138.12643,34.81976
"菊川",138.08586,34.76183
"掛川",138.0145,34.7694
"愛野",137.96078,34.75204
"袋井",137.9248,34.74106
"御厨",137.884735,34.71808
"磐田",137.85369,34.71026
"豊田町",137.81877,34.71225
"天竜川",137.7809,34.71778
"浜松",137.73513,34.7041
"高塚",137.68269,34.69043
"舞阪",137.62741,34.68567
"弁天島",137.60318,34.69011
"新居町",137.56959,34.69428
"鷲津",137.54734,34.71621
"新所原",137.48543,34.72308
"二川",137.44036,34.72545
"豊橋",137.38294,34.76166
"西小坂井",137.35243,34.79716
"愛知御津",137.31534,34.81288
"三河大塚",137.28308,34.81582
"三河三谷",137.24788,34.81854
"蒲郡",137.22716,34.82278
"三河塩津",137.20156,34.82544
"三ヶ根",137.17649,34.83646
"幸田",137.16448,34.85963
"相見",137.160349,34.887096
"岡崎",137.15716,34.92666
"西岡崎",137.12402,34.94636
"安城",137.08641,34.96045
"三河安城",137.0613,34.97033
"東刈谷",137.04228,34.97788
"野田新町",137.02821,34.98349
"刈谷",137.00787,34.99153
"逢妻",136.98991,34.99841
"大府",136.96141,35.00938
"共和",136.95465,35.03497
"南大高",136.94874,35.05443
"大高",136.9408,35.06814
"笠寺",136.92599,35.09574
"熱田",136.91053,35.13018
"金山",136.90122,35.14265
"尾頭橋",136.89086,35.14714
"名古屋",136.8813,35.17113
"枇杷島",136.86173,35.19932
"清洲",136.83443,35.22555
"稲沢",136.82087,35.25322
"尾張一宮",136.79681,35.30314
"木曽川",136.78114,35.34824
"岐阜",136.75546,35.40965
"西岐阜",136.72265,35.40436
"穂積",136.69282,35.39593
"大垣",136.61733,35.36712
"垂井",136.53149,35.36965
"関ヶ原",136.46937,35.36365
"柏原",136.40351,35.34486
"近江長岡",136.37397,35.35902
"醒ヶ井",136.34633,35.32827
"米原",136.28993,35.315
"荒尾",136.58344,35.37338
"美濃赤坂",136.58218,35.38735
